id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag
73,3647.1767139542712,395.2096078676202,0.46233331078643697,-0.44870713087802155,-0.9845033245411303,25,109.34494529559723,1070.6226976927314,-7.574091115968553,-0.08409385924886181
74,3521.548699832414,398.8562860627907,0.34102164304222055,0.607130709976643,-0.2783286048466218,25,147.87461397368355,2311.367672930232,-8.40967258721998,-0.14504741176922317
75,3018.903086232688,402.78358067009106,0.35738874382302027,0.675009354311679,-0.14186222478305535,25,164.65227074003974,2764.9627750075842,-8.604223221816422,-0.023452799026720587
76,2092.9937477886797,407.2424934837419,0.49278668258695607,0.4304156159194897,-0.5609535469638369,25,140.59353167473515,1542.7109676449852,-7.970711417693627,-0.16906280651042657
77,641.200397614771,411.53989943990746,0.36166975545962954,-0.6230563263708104,-0.9791455180989995,25,151.33886293553707,2248.963857083304,-8.37995618995034,-0.17036688357891955
78,1659.6323888710433,413.2501991180288,0.23993645591577703,-0.5186169472027291,-0.8476882189520623,25,132.80304986892614,2143.7942002610394,-8.327957729159918,-0.2336645091004097
79,2466.1149335809646,419.5009560982568,0.43686299477131335,-0.13910535461350387,-0.5998339017067049,25,158.82690908737587,1986.3600071798585,-8.245144906675435,-0.33691376178850846
80,135.28703178435137,422.5627572932293,0.5972779664088383,-0.20298334288832995,-0.05910351272816665,25,95.50584965506316,404.0323593319123,-6.516040373893432,-0.012998925638994144
81,2385.7367894722183,429.3771714771918,0.46382479801470194,-0.08649951946208108,-0.7485419340439419,25,140.4400050875341,1725.6149446150341,-8.092359733249289,-0.07829708639909452
82,1537.669549865459,441.05730790511416,0.3997532424173331,0.0043423402696107,-0.458127927809044,25,153.96397389727463,2340.5904491950573,-8.423313571389162,-0.05674280617479266
83,4017.3942314300443,441.0606170765429,0.25556356787533113,0.24654102017587268,0.8692204092480336,25,173.52692433984208,3169.6497874466004,-8.752528199880668,-0.1594903295890962
84,340.53523552043305,443.31872250692385,0.36029684604314904,-0.5485397808542638,-0.883615499686743,25,171.89073257724206,2700.194755446122,-8.578487723513419,-0.23917705716165355
85,2200.4237271852285,442.6614034662606,0.41933429332661015,0.39646870796374045,-0.7355984482040322,25,147.55450862669005,2142.8371783059456,-8.327472931979617,-0.14045962994430447
86,2204.7155428314027,443.29895781324626,0.3066584675182007,0.17267012153009065,-0.7327861094974739,25,159.65718550158581,2798.878337936003,-8.617460052246685,-0.05321532914630152
87,157.660030313894,444.28625693856213,0.36660627529617223,-0.40762878343508724,-0.2585045865442805,25,159.44037697373267,2653.7328918022467,-8.55964301838749,-0.02147875998175143
88,151.99001343134614,444.8981262866482,0.3278718292253811,-0.19058256350865108,0.39338302359192,25,161.80439814156574,2611.9030062549673,-8.542392613140077,-0.20052568896294642
89,3660.019167828821,449.1619497629612,0.3640536161922715,-0.23932453502277765,-0.8483514640427084,25,132.16624816456098,1868.7212745786944,-8.178861324689194,-0.10692722344345396
90,1291.8894484357559,450.8971292885738,0.2240967578602918,-0.6913006799118742,-0.265127832197691,25,148.81193470961094,2825.331180330687,-8.627673405928524,-0.012219597012437942
91,3666.680344904548,452.27835442758703,0.41600225579154226,0.5440132055913027,-0.1732491036141083,25,143.17058333193458,1762.0423426086872,-8.115040851195111,-0.25229071445579
92,704.132602387201,453.8950971226595,0.41717912240186417,-0.1576568500504072,0.5765153085424073,25,57.96869120706693,36.70380644307221,-3.9117777649557706,-0.052218529396981274
